USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 103276  9072 ?        Ss   01:34   0:02 /sbin/init auto noprompt
root         136  0.0  0.0      0     0 ?        I<   01:34   0:00 [vfio-irqfd-clea]
root         137  0.0  0.0      0     0 ?        I<   01:34   0:00 [mld]
root         138  0.0  0.0      0     0 ?        I<   01:34   0:00 [kworker/1:1H-kblockd]
root         139  0.0  0.0      0     0 ?        I<   01:34   0:00 [ipv6_addrconf]
root         150  0.0  0.0      0     0 ?        I<   01:34   0:00 [kstrp]
root         153  0.0  0.0      0     0 ?        I<   01:34   0:00 [zswap-shrink]
root         154  0.0  0.0      0     0 ?        I<   01:34   0:00 [kworker/u257:0]
root         159  0.0  0.0      0     0 ?        I<   01:34   0:00 [charger_manager]
root         203  0.0  0.0      0     0 ?        I<   01:34   0:00 [mpt_poll_0]
root         204  0.0  0.0      0     0 ?        I<   01:34   0:00 [mpt/0]
root         206  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_2]
root         207  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_2]
root         208  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_3]
root         209  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_3]
root         210  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_4]
root         211  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_4]
root         212  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_5]
root         213  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_5]
root         214  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_6]
root         215  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_6]
root         216  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_7]
root         217  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_7]
root         218  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_8]
root         219  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_8]
root         220  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_9]
root         221  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_9]
root         222  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_10]
root         223  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_10]
root         224  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_11]
root         225  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_11]
root         226  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_12]
root         227  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_12]
root         228  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_13]
root         229  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_13]
root         230  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_14]
root         231  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_14]
root         232  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_15]
root         233  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_15]
root         234  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_16]
